Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
RC,10056,7821,310,1925
PN,9967,8268,374,1325
KE,9908,7918,561,1429
KW,9666,7610,345,1711
GN,9257,7463,522,1272
RS,8641,6631,255,1755
S,8611,6863,490,1258
N,8449,6680,427,1342
T,7446,5826,188,1432
FS,7356,6090,391,875
D,7313,5713,265,1335
GS,6817,5646,426,745
L,6681,5459,474,748
FN,6350,5055,326,969
E,6303,5111,313,879
PS,5887,4656,254,977
ME,5453,4448,325,680
HE,5429,4261,361,807
HW,4940,3959,212,769
MW,4772,3858,310,604
RN,4678,3480,167,1031
A,4118,3444,77,597
C,2353,1970,108,275
B,1405,1102,97,206
