Ward_Name,Total_Positive_Cases,Total_Discharged,Total_Deaths,Total_Active
RC,11265,8795,331,2139
PN,10791,8896,396,1499
KW,10789,8549,353,1887
KE,10718,8577,578,1563
GN,9889,8114,540,1235
RS,9509,7568,278,1663
S,9187,7418,504,1265
N,9073,7426,440,1207
T,8190,6582,202,1406
D,8068,6619,282,1167
FS,7818,6575,407,836
GS,7285,5994,438,853
L,7057,5813,476,768
FN,6990,5463,340,1187
E,6746,5529,326,891
PS,6433,5129,267,1037
ME,5906,4865,333,708
HE,5848,4644,364,840
HW,5595,4370,217,1008
MW,5222,4147,316,759
RN,5209,4016,176,1017
A,4480,3704,79,697
C,2585,2112,111,362
B,1533,1205,97,231
